,gene,product
1185,ATP6V0A1,ATPase H+ transporting V0 subunit a1
1186,ATP6V0A2,ATPase H+ transporting V0 subunit a2
1187,ATP6V0A4,ATPase H+ transporting V0 subunit a4
1188,ATP6V1A,ATPase H+ transporting V1 subunit A
1189,ATP6V1B1,ATPase H+ transporting V1 subunit B1
1190,ATP6V1E1,ATPase H+ transporting V1 subunit E1
1191,ATP7A,ATPase copper transporting alpha
1192,ATP7B,ATPase copper transporting beta
1193,ATP8A2,ATPase phospholipid transporting 8A2
1194,ATP8B1,ATPase phospholipid transporting 8B1
1195,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2
1196,ATR,ATR serine/threonine kinase
1197,ATRX,ATRX chromatin remodeler
1198,ATXN1,Ataxin 1
1199,ATXN10,Ataxin 10
1200,ATXN2,Ataxin 2
1201,ATXN3,Ataxin 3
1202,ATXN7,Ataxin 7
1203,ATXN7L3B,Ataxin 7 like 3B
1204,AUH,AU RNA binding methylglutaconyl-CoA hydratase
1205,AURKB,Aurora kinase B
1206,AURKC,Aurora kinase C
1207,AUTS2,Activator of transcription and developmental regulator AUTS2
1208,AVIL,Advillin
1209,AVP,Arginine vasopressin
1210,AXIN1,Axin 1
1211,AXIN2,Axin 2
1212,B2M,Beta-2-microglobulin
1213,B3GALNT2,"Beta-1,3-N-acetylgalactosaminyltransferase 2"
1214,B3GALT6,"Beta-1,3-galactosyltransferase 6"
1215,B3GAT3,"Beta-1,3-glucuronyltransferase 3"
1216,B3GLCT,Beta 3-glucosyltransferase
1217,B4GALNT1,"Beta-1,4-N-acetyl-galactosaminyltransferase 1"
1218,B4GALNT2,"Beta-1,4-N-acetyl-galactosaminyltransferase 2"
1219,B4GALT1,"Beta-1,4-galactosyltransferase 1"
1220,B4GALT7,"Beta-1,4-galactosyltransferase 7"
1221,B4GAT1,"Beta-1,4-glucuronyltransferase 1"
1222,B9D1,B9 domain containing 1
1223,B9D2,B9 domain containing 2
1224,BAAT,Bile acid-CoA:amino acid N-acyltransferase
1225,BACH2,BTB domain and CNC homolog 2
1226,BAG3,BAG cochaperone 3
1227,BAG5,BAG cochaperone 5
1228,BANF1,BAF nuclear assembly factor 1
1229,BANK1,B cell scaffold protein with ankyrin repeats 1
1230,BAP1,BRCA1 associated protein 1
1231,BAZ1B,Bromodomain adjacent to zinc finger domain 1B
1232,BBIP1,BBSome interacting protein 1
1233,BBS1,Bardet-Biedl syndrome 1
1234,BBS10,Bardet-Biedl syndrome 10
1235,BBS12,Bardet-Biedl syndrome 12
1236,BBS2,Bardet-Biedl syndrome 2
1237,BBS4,Bardet-Biedl syndrome 4
1238,BBS5,Bardet-Biedl syndrome 5
1239,BBS7,Bardet-Biedl syndrome 7
1240,BBS9,Bardet-Biedl syndrome 9
1241,BCAP31,B cell receptor associated protein 31
1242,BCAS3,BCAS3 microtubule associated cell migration factor
1243,BCAS4,Breast carcinoma amplified sequence 4
1244,BCAT2,Branched chain amino acid transaminase 2
1245,BCKDHA,Branched chain keto acid dehydrogenase E1 subunit alpha
1246,BCKDHB,Branched chain keto acid dehydrogenase E1 subunit beta
1247,BCKDK,Branched chain keto acid dehydrogenase kinase
1248,BCL10,BCL10 immune signaling adaptor
1249,BCL11A,BAF chromatin remodeling complex subunit BCL11A
1250,BCL11B,BAF chromatin remodeling complex subunit BCL11B
1251,BCL3,BCL3 transcription coactivator
1252,BCL6,BCL6 transcription repressor
1253,BCL7A,BAF chromatin remodeling complex subunit BCL7A
1254,BCL7B,BAF chromatin remodeling complex subunit BCL7B
1255,BCL9,BCL9 transcription coactivator
1256,BCO1,Beta-carotene oxygenase 1
1257,BCOR,BCL6 corepressor
1258,BCORL1,BCL6 corepressor like 1
1259,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone"
1260,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"
1261,BEAN1,Brain expressed associated with NEDD4 1
1262,BEST1,Bestrophin 1
1263,BFSP1,Beaded filament structural protein 1
1264,BFSP2,Beaded filament structural protein 2
1265,BGN,Biglycan
1266,BHLHA9,Basic helix-loop-helix family member a9
1267,BICC1,BicC family RNA binding protein 1
1268,BICD2,BICD cargo adaptor 2
1269,BICRA,BRD4 interacting chromatin remodeling complex associated protein
1270,BIN1,Bridging integrator 1
1271,BIRC3,Baculoviral IAP repeat containing 3
1272,BLK,"BLK proto-oncogene, Src family tyrosine kinase"
1273,BLM,BLM RecQ like helicase
1274,BLNK,B cell linker
1275,BLOC1S3,Biogenesis of lysosomal organelles complex 1 subunit 3
1276,BLOC1S5,Biogenesis of lysosomal organelles complex 1 subunit 5
1277,BLOC1S6,Biogenesis of lysosomal organelles complex 1 subunit 6
1278,BLTP1,Bridge-like lipid transfer protein family member 1
1279,BLVRA,Biliverdin reductase A
1280,BMP1,Bone morphogenetic protein 1
1281,BMP15,Bone morphogenetic protein 15
1282,BMP2,Bone morphogenetic protein 2
1283,BMP4,Bone morphogenetic protein 4
1284,BMPER,BMP binding endothelial regulator
1285,BMPR1B,Bone morphogenetic protein receptor type 1B
1286,BMS1,BMS1 ribosome biogenesis factor
1287,BNC1,Basonuclin 1
1288,BNC2,Basonuclin 2
1289,BOLA3,BolA family member 3
1290,BPGM,Bisphosphoglycerate mutase
1291,BPNT2,"3'(2'), 5'-bisphosphate nucleotidase 2"
1292,BPTF,Bromodomain PHD finger transcription factor
1293,BRAT1,BRCA1 associated ATM activator 1
1294,BRCA1,BRCA1 DNA repair associated
1295,BRCA2,BRCA2 DNA repair associated
1296,BRCC3,BRCA1/BRCA2-containing complex subunit 3
1297,BRD3,Bromodomain containing 3
1298,BRD4,Bromodomain containing 4
1299,BRDT,Bromodomain testis associated
1300,BRF1,BRF1 RNA polymerase III transcription initiation factor subunit
1301,BRIP1,BRCA1 interacting helicase 1
1302,BRPF1,Bromodomain and PHD finger containing 1
1303,BRWD3,Bromodomain and WD repeat domain containing 3
1304,BSCL2,"BSCL2 lipid droplet biogenesis associated, seipin"
1305,BSND,Barttin CLCNK type accessory subunit beta
1306,BTBD9,BTB domain containing 9
1307,BTD,Biotinidase
1308,BTG1,BTG anti-proliferation factor 1
1309,BTG4,BTG anti-proliferation factor 4
1310,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B
1311,BUD23,BUD23 rRNA methyltransferase and ribosome maturation factor
1312,BVES,Blood vessel epicardial substance
1313,C11orf80,Chromosome 11 open reading frame 80
1314,C12orf4,Chromosome 12 open reading frame 4
1315,C12orf57,Chromosome 12 open reading frame 57
1316,C14orf39,Chromosome 14 open reading frame 39
1317,C18orf32,Chromosome 18 open reading frame 32
1318,C19orf12,Chromosome 19 open reading frame 12
1319,C1GALT1C1,C1GALT1 specific chaperone 1
1320,C1QA,Complement C1q A chain
1321,C1QBP,Complement C1q binding protein
1322,C1QC,Complement C1q C chain
1323,C1QTNF5,C1q and TNF related 5
1324,C2,Complement C2
1325,C2CD3,C2 domain containing 3 centriole elongation regulator
1326,C2CD6,C2 calcium dependent domain containing 6
1327,C2orf69,Chromosome 2 open reading frame 69
1328,C4orf54,Chromosome 4 open reading frame 54
1329,C6,Complement C6
1330,C7,Complement C7
1331,C8A,Complement C8 alpha chain
1332,C8B,Complement C8 beta chain
1333,C9,Complement C9
1334,C9orf72,C9orf72-SMCR8 complex subunit
1335,CA8,Carbonic anhydrase 8
1336,CABP2,Calcium binding protein 2
1337,CABP4,Calcium binding protein 4
1338,CAD,"Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
1339,CADM3,Cell adhesion molecule 3
1340,CALM2,Calmodulin 2
1341,CALM3,Calmodulin 3
1342,CALR,Calreticulin
1343,CAMK2A,Calcium/calmodulin dependent protein kinase II alpha
1344,CAMK2B,Calcium/calmodulin dependent protein kinase II beta
1345,CAMK2G,Calcium/calmodulin dependent protein kinase II gamma
1346,CAMKMT,Calmodulin-lysine N-methyltransferase
1347,CAMSAP2,Calmodulin regulated spectrin associated protein family member 2
1348,CAMTA1,Calmodulin binding transcription activator 1
1349,CANT1,Calcium activated nucleotidase 1
1350,CAPN1,Calpain 1
1351,CAPN10,Calpain 10
1352,CAPN15,Calpain 15
1353,CAPN3,Calpain 3
1354,CAPN5,Calpain 5
1355,CARD10,Caspase recruitment domain family member 10
1356,CARD11,Caspase recruitment domain family member 11
1357,CARD14,Caspase recruitment domain family member 14
1358,CARD8,Caspase recruitment domain family member 8
1359,CARD9,Caspase recruitment domain family member 9
1360,CARMIL2,Capping protein regulator and myosin 1 linker 2
1361,CARS1,Cysteinyl-tRNA synthetase 1
1362,CARS2,"Cysteinyl-tRNA synthetase 2, mitochondrial"
1363,CASK,Calcium/calmodulin dependent serine protein kinase
1364,CASP10,Caspase 10
1365,CASP14,Caspase 14
1366,CASP8,Caspase 8
1367,CASQ1,Calsequestrin 1
1368,CASQ2,Calsequestrin 2
1369,CAST,Calpastatin
1370,CATIP,Ciliogenesis associated TTC17 interacting protein
1371,CATSPER1,Cation channel sperm associated 1
1372,CATSPER2,Cation channel sperm associated 2
1373,CAV1,Caveolin 1
1374,CAV3,Caveolin 3
1375,CAVIN1,Caveolae associated protein 1
1376,CBFA2T2,CBFA2/RUNX1 partner transcriptional co-repressor 2
1377,CBFA2T3,CBFA2/RUNX1 partner transcriptional co-repressor 3
1378,CBFB,Core-binding factor subunit beta
1379,CBL,Cbl proto-oncogene
1380,CBLIF,Cobalamin binding intrinsic factor
1381,CBS,Cystathionine beta-synthase
1382,CBX2,Chromobox 2
1383,CC2D1A,Coiled-coil and C2 domain containing 1A
1384,CC2D2A,Coiled-coil and C2 domain containing 2A
1385,CCBE1,Collagen and calcium binding EGF domains 1
1386,CCDC103,Coiled-coil domain containing 103
1387,CCDC115,Coiled-coil domain containing 115
1388,CCDC134,Coiled-coil domain containing 134
1389,CCDC174,Coiled-coil domain containing 174
1390,CCDC22,Coiled-coil domain containing 22
1391,CCDC28B,Coiled-coil domain containing 28B
1392,CCDC32,Coiled-coil domain containing 32
1393,CCDC34,Coiled-coil domain containing 34
1394,CCDC39,Coiled-coil domain containing 39
1395,CCDC40,Coiled-coil domain containing 40
1396,CCDC47,Coiled-coil domain containing 47
1397,CCDC50,Coiled-coil domain containing 50
1398,CCDC6,Coiled-coil domain containing 6
1399,CCDC62,Coiled-coil domain containing 62
1400,CCDC65,Coiled-coil domain containing 65
1401,CCDC78,Coiled-coil domain containing 78
1402,CCDC8,Coiled-coil domain containing 8
1403,CCDC88A,Coiled-coil domain containing 88A
1404,CCDC88C,Coiled-coil domain containing 88C
1405,CCM2,CCM2 scaffold protein
1406,CCN6,Cellular communication network factor 6
1407,CCND2,Cyclin D2
1408,CCNF,Cyclin F
1409,CCNK,Cyclin K
1410,CCNO,Cyclin O
1411,CCNQ,Cyclin Q
1412,CCT5,Chaperonin containing TCP1 subunit 5
1413,CD151,CD151 molecule (Raph blood group)
1414,CD164,CD164 molecule
1415,CD207,CD207 molecule
1416,CD24,CD24 molecule
1417,CD27,CD27 molecule
1418,CD2AP,CD2 associated protein
1419,CD320,CD320 molecule
1420,CD36,CD36 molecule
1421,CD40,CD40 molecule
1422,CD40LG,CD40 ligand
1423,CD46,CD46 molecule
1424,CD55,CD55 molecule (Cromer blood group)
1425,CD59,CD59 molecule (CD59 blood group)
1426,CD70,CD70 molecule
1427,CD74,CD74 molecule
1428,CD79A,CD79a molecule
1429,CD81,CD81 molecule
1430,CD8A,CD8a molecule
1431,CD96,CD96 molecule
1432,CDAN1,Codanin 1
1433,CDC14A,Cell division cycle 14A
1434,CDC40,Cell division cycle 40
1435,CDC42,Cell division cycle 42
1436,CDC42BPB,CDC42 binding protein kinase beta
1437,CDC45,Cell division cycle 45
1438,CDC5L,Cell division cycle 5 like
1439,CDC6,Cell division cycle 6
1440,CDC73,Cell division cycle 73
1441,CDCA7,Cell division cycle associated 7
1442,CDH1,Cadherin 1
1443,CDH11,Cadherin 11
1444,CDH15,Cadherin 15
1445,CDH2,Cadherin 2
1446,CDH23,Cadherin related 23
1447,CDH3,Cadherin 3
1448,CDHR1,Cadherin related family member 1
1449,CDHR3,Cadherin related family member 3
1450,CDIN1,CDAN1 interacting nuclease 1
1451,CDK10,Cyclin dependent kinase 10
1452,CDK12,Cyclin dependent kinase 12
1453,CDK13,Cyclin dependent kinase 13
1454,CDK19,Cyclin dependent kinase 19
1455,CDK5,Cyclin dependent kinase 5
1456,CDK5RAP2,CDK5 regulatory subunit associated protein 2
1457,CDK8,Cyclin dependent kinase 8
1458,CDK9,Cyclin dependent kinase 9
1459,CDKAL1,CDK5 regulatory subunit associated protein 1 like 1
1460,CDKL5,Cyclin dependent kinase like 5
1461,CDKN1B,Cyclin dependent kinase inhibitor 1B
1462,CDKN1C,Cyclin dependent kinase inhibitor 1C
1463,CDKN2A,Cyclin dependent kinase inhibitor 2A
1464,CDKN3,Cyclin dependent kinase inhibitor 3
1465,CDON,"Cell adhesion associated, oncogene regulated"
1466,CDT1,Chromatin licensing and DNA replication factor 1
1467,CEACAM16,"CEA cell adhesion molecule 16, tectorial membrane component"
1468,CEBPA,CCAAT enhancer binding protein alpha
1469,CEBPE,CCAAT enhancer binding protein epsilon
1470,CEL,Carboxyl ester lipase
1471,CELA2A,Chymotrypsin like elastase 2A
1472,CELF2,CUGBP Elav-like family member 2
1473,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1
1474,CENPE,Centromere protein E
1475,CENPF,Centromere protein F
1476,CENPJ,Centromere protein J
1477,CENPK,Centromere protein K
1478,CENPT,Centromere protein T
1479,CEP104,Centrosomal protein 104
1480,CEP112,Centrosomal protein 112
1481,CEP120,Centrosomal protein 120
1482,CEP135,Centrosomal protein 135
1483,CEP152,Centrosomal protein 152
1484,CEP164,Centrosomal protein 164
1485,CEP19,Centrosomal protein 19
1486,CEP250,Centrosomal protein 250
1487,CEP290,Centrosomal protein 290
1488,CEP41,Centrosomal protein 41
1489,CEP43,Centrosomal protein 43
1490,CEP55,Centrosomal protein 55
1491,CEP57,Centrosomal protein 57
1492,CEP63,Centrosomal protein 63
1493,CEP78,Centrosomal protein 78
1494,CEP83,Centrosomal protein 83
1495,CEP85L,Centrosomal protein 85 like
1496,CEP89,Centrosomal protein 89
1497,CERKL,Ceramide kinase like
1498,CERS1,Ceramide synthase 1
1499,CERS3,Ceramide synthase 3
1500,CERT1,Ceramide transporter 1
1501,CETP,Cholesteryl ester transfer protein
1502,CFAP251,Cilia and flagella associated protein 251
1503,CFAP276,Cilia and flagella associated protein 276
1504,CFAP298,Cilia and flagella associated protein 298
1505,CFAP300,Cilia and flagella associated protein 300
1506,CFAP410,Cilia and flagella associated protein 410
1507,CFAP418,Cilia and flagella associated protein 418
1508,CFAP43,Cilia and flagella associated protein 43
1509,CFAP44,Cilia and flagella associated protein 44
1510,CFAP45,Cilia and flagella associated protein 45
1511,CFAP47,Cilia and flagella associated protein 47
1512,CFAP52,Cilia and flagella associated protein 52
1513,CFAP53,Cilia and flagella associated protein 53
1514,CFAP58,Cilia and flagella associated protein 58
1515,CFAP65,Cilia and flagella associated protein 65
1516,CFAP69,Cilia and flagella associated protein 69
1517,CFAP91,Cilia and flagella associated protein 91
1518,CFB,Complement factor B
1519,CFC1,"Cripto, FRL-1, cryptic family 1"
1520,CFD,Complement factor D
1521,CFH,Complement factor H
1522,CFHR1,Complement factor H related 1
1523,CFHR3,Complement factor H related 3
1524,CFHR5,Complement factor H related 5
1525,CFI,Complement factor I
1526,CFL2,Cofilin 2
1527,CFP,Complement factor properdin
1528,CGNL1,Cingulin like 1
1529,CHAT,Choline O-acetyltransferase
1530,CHCHD10,Coiled-coil-helix-coiled-coil-helix domain containing 10
1531,CHCHD2,Coiled-coil-helix-coiled-coil-helix domain containing 2
1532,CHCHD7,Coiled-coil-helix-coiled-coil-helix domain containing 7
1533,CHD1,Chromodomain helicase DNA binding protein 1
1534,CHD2,Chromodomain helicase DNA binding protein 2
1535,CHD3,Chromodomain helicase DNA binding protein 3
1536,CHD4,Chromodomain helicase DNA binding protein 4
1537,CHD5,Chromodomain helicase DNA binding protein 5
1538,CHD6,Chromodomain helicase DNA binding protein 6
1539,CHD7,Chromodomain helicase DNA binding protein 7
1540,CHD8,Chromodomain helicase DNA binding protein 8
1541,CHEK2,Checkpoint kinase 2
1542,CHI3L1,Chitinase 3 like 1
1543,CHIC2,Cysteine rich hydrophobic domain 2
1544,CHKB,Choline kinase beta
1545,CHM,CHM Rab escort protein
1546,CHMP1A,Charged multivesicular body protein 1A
1547,CHMP2B,Charged multivesicular body protein 2B
1548,CHMP4B,Charged multivesicular body protein 4B
1549,CHN1,Chimerin 1
1550,CHP1,Calcineurin like EF-hand protein 1
1551,CHRDL1,Chordin like 1
1552,CHRNA1,Cholinergic receptor nicotinic alpha 1 subunit
1553,CHRNB1,Cholinergic receptor nicotinic beta 1 subunit
1554,CHRND,Cholinergic receptor nicotinic delta subunit
1555,CHRNE,Cholinergic receptor nicotinic epsilon subunit
1556,CHRNG,Cholinergic receptor nicotinic gamma subunit
1557,CHST11,Carbohydrate sulfotransferase 11
1558,CHST14,Carbohydrate sulfotransferase 14
1559,CHST3,Carbohydrate sulfotransferase 3
1560,CHST6,Carbohydrate sulfotransferase 6
1561,CHST8,Carbohydrate sulfotransferase 8
1562,CHSY1,Chondroitin sulfate synthase 1
1563,CHUK,Component of inhibitor of nuclear factor kappa B kinase complex
1564,CIB1,Calcium and integrin binding 1
1565,CIB2,Calcium and integrin binding family member 2
1566,CIBAR1,CBY1 interacting BAR domain containing 1
1567,CIC,Capicua transcriptional repressor
1568,CIDEA,Cell death inducing DFFA like effector a
1569,CIDEC,Cell death inducing DFFA like effector c
1570,CIITA,Class II major histocompatibility complex transactivator
1571,CILK1,Ciliogenesis associated kinase 1
1572,CILP,Cartilage intermediate layer protein
1573,CIROP,Ciliated left-right organizer metallopeptidase
1574,CISD2,CDGSH iron sulfur domain 2
1575,CIT,Citron rho-interacting serine/threonine kinase
1576,CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2
1577,CIZ1,CDKN1A interacting zinc finger protein 1
1578,CKAP2L,Cytoskeleton associated protein 2 like
1579,CLCC1,Chloride channel CLIC like 1
1580,CLCF1,Cardiotrophin like cytokine factor 1
1581,CLCN1,Chloride voltage-gated channel 1
1582,CLCN3,Chloride voltage-gated channel 3
1583,CLCN4,Chloride voltage-gated channel 4
1584,CLCN5,Chloride voltage-gated channel 5
1585,CLCN6,Chloride voltage-gated channel 6
1586,CLCN7,Chloride voltage-gated channel 7
1587,CLCNKA,Chloride voltage-gated channel Ka
1588,CLCNKB,Chloride voltage-gated channel Kb
1589,CLDN1,Claudin 1
1590,CLDN10,Claudin 10
1591,CLDN11,Claudin 11
1592,CLDN14,Claudin 14
1593,CLDN16,Claudin 16
1594,CLDN19,Claudin 19
1595,CLDN2,Claudin 2
1596,CLDN3,Claudin 3
1597,CLDN4,Claudin 4
1598,CLDN9,Claudin 9
1599,CLEC16A,C-type lectin domain containing 16A
1600,CLEC3B,C-type lectin domain family 3 member B
1601,CLEC7A,C-type lectin domain containing 7A
1602,CLIC2,Chloride intracellular channel 2
1603,CLIC5,Chloride intracellular channel 5
1604,CLIP2,CAP-Gly domain containing linker protein 2
1605,CLMP,CXADR like membrane protein
1606,CLN3,"CLN3 lysosomal/endosomal transmembrane protein, battenin"
1607,CLN5,CLN5 intracellular trafficking protein
1608,CLN6,CLN6 transmembrane ER protein
1609,CLN8,CLN8 transmembrane ER and ERGIC protein
1610,CLP1,Cleavage factor polyribonucleotide kinase subunit 1
1611,CLPB,Caseinolytic mitochondrial matrix peptidase chaperone subunit B
1612,CLPP,Caseinolytic mitochondrial matrix peptidase proteolytic subunit
1613,CLPX,Caseinolytic mitochondrial matrix peptidase chaperone subunit X
1614,CLRN1,Clarin 1
1615,CLRN2,Clarin 2
1616,CLTC,Clathrin heavy chain
1617,CMC4,C-X9-C motif containing 4
1618,CNBP,CCHC-type zinc finger nucleic acid binding protein
1619,CNGA1,Cyclic nucleotide gated channel subunit alpha 1
1620,CNGA3,Cyclic nucleotide gated channel subunit alpha 3
1621,CNGB1,Cyclic nucleotide gated channel subunit beta 1
1622,CNGB3,Cyclic nucleotide gated channel subunit beta 3
1623,CNKSR2,Connector enhancer of kinase suppressor of Ras 2
1624,CNNM2,Cyclin and CBS domain divalent metal cation transport mediator 2
1625,CNNM4,Cyclin and CBS domain divalent metal cation transport mediator 4
1626,CNOT1,CCR4-NOT transcription complex subunit 1
1627,CNOT2,CCR4-NOT transcription complex subunit 2
1628,CNOT3,CCR4-NOT transcription complex subunit 3
1629,CNP,"2',3'-cyclic nucleotide 3' phosphodiesterase"
1630,CNPY3,Canopy FGF signaling regulator 3
1631,CNTN1,Contactin 1
1632,CNTN2,Contactin 2
1633,CNTN4,Contactin 4
1634,CNTNAP1,Contactin associated protein 1
1635,CNTNAP2,Contactin associated protein 2
1636,CNTRL,Centriolin
1637,COA3,Cytochrome c oxidase assembly factor 3
1638,COA5,Cytochrome c oxidase assembly factor 5
1639,COA6,Cytochrome c oxidase assembly factor 6
1640,COA7,Cytochrome c oxidase assembly factor 7
1641,COA8,Cytochrome c oxidase assembly factor 8
1642,COASY,Coenzyme A synthase
1643,COCH,Cochlin
1644,COG1,Component of oligomeric golgi complex 1
1645,COG2,Component of oligomeric golgi complex 2
1646,COG5,Component of oligomeric golgi complex 5
1647,COG6,Component of oligomeric golgi complex 6
1648,COG7,Component of oligomeric golgi complex 7
1649,COG8,Component of oligomeric golgi complex 8
1650,COL10A1,Collagen type X alpha 1 chain
1651,COL11A1,Collagen type XI alpha 1 chain
1652,COL11A2,Collagen type XI alpha 2 chain
1653,COL12A1,Collagen type XII alpha 1 chain
1654,COL13A1,Collagen type XIII alpha 1 chain
1655,COL17A1,Collagen type XVII alpha 1 chain
1656,COL18A1,Collagen type XVIII alpha 1 chain
1657,COL1A2,Collagen type I alpha 2 chain
1658,COL25A1,Collagen type XXV alpha 1 chain
1659,COL27A1,Collagen type XXVII alpha 1 chain
1660,COL4A1,Collagen type IV alpha 1 chain
1661,COL4A2,Collagen type IV alpha 2 chain
1662,COL4A3,Collagen type IV alpha 3 chain
1663,COL4A4,Collagen type IV alpha 4 chain
1664,COL4A5,Collagen type IV alpha 5 chain
1665,COL4A6,Collagen type IV alpha 6 chain
1666,COL5A1,Collagen type V alpha 1 chain
1667,COL5A2,Collagen type V alpha 2 chain
1668,COL6A1,Collagen type VI alpha 1 chain
1669,COL6A2,Collagen type VI alpha 2 chain
1670,COL6A3,Collagen type VI alpha 3 chain
1671,COL7A1,Collagen type VII alpha 1 chain
1672,COL8A2,Collagen type VIII alpha 2 chain
1673,COL9A1,Collagen type IX alpha 1 chain
1674,COL9A2,Collagen type IX alpha 2 chain
1675,COL9A3,Collagen type IX alpha 3 chain
1676,COLEC10,Collectin subfamily member 10
1677,COLEC11,Collectin subfamily member 11
1678,COLGALT1,Collagen beta(1-O)galactosyltransferase 1
1679,COLQ,Collagen like tail subunit of asymmetric acetylcholinesterase
1680,COMP,Cartilage oligomeric matrix protein
1681,COPA,COPI coat complex subunit alpha
1682,COPB1,COPI coat complex subunit beta 1
1683,COPB2,COPI coat complex subunit beta 2
1684,COQ2,"Coenzyme Q2, polyprenyltransferase"
1685,COQ4,Coenzyme Q4
1686,COQ5,"Coenzyme Q5, methyltransferase"
1687,COQ6,"Coenzyme Q6, monooxygenase"
1688,COQ7,"Coenzyme Q7, hydroxylase"
1689,COQ8A,Coenzyme Q8A
1690,COQ8B,Coenzyme Q8B
1691,COQ9,Coenzyme Q9
1692,CORIN,"Corin, serine peptidase"
1693,CORO1A,Coronin 1A
1694,COX10,Cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
1695,COX14,Cytochrome c oxidase assembly factor COX14
1696,COX15,Cytochrome c oxidase assembly homolog COX15
1697,COX16,Cytochrome c oxidase assembly factor COX16
1698,COX20,Cytochrome c oxidase assembly factor COX20
1699,COX4I1,Cytochrome c oxidase subunit 4I1
1700,COX4I2,Cytochrome c oxidase subunit 4I2
1701,COX5A,Cytochrome c oxidase subunit 5A
1702,COX6A1,Cytochrome c oxidase subunit 6A1
1703,COX6A2,Cytochrome c oxidase subunit 6A2
1704,COX6B1,Cytochrome c oxidase subunit 6B1
1705,COX7B,Cytochrome c oxidase subunit 7B
1706,COX8A,Cytochrome c oxidase subunit 8A
1707,CP,Ceruloplasmin
1708,CPA6,Carboxypeptidase A6
1709,CPAMD8,C3 and PZP like alpha-2-macroglobulin domain containing 8
1710,CPE,Carboxypeptidase E
1711,CPLANE1,Ciliogenesis and planar polarity effector complex subunit 1
1712,CPLX1,Complexin 1
1713,CPN1,Carboxypeptidase N subunit 1
1714,CPOX,Coproporphyrinogen oxidase
1715,CPSF1,Cleavage and polyadenylation specific factor 1
1716,CPSF3,Cleavage and polyadenylation specific factor 3
1717,CPT1C,Carnitine palmitoyltransferase 1C
1718,CR2,Complement C3d receptor 2
1719,CRACD,Capping protein inhibiting regulator of actin dynamics
1720,CRADD,CASP2 and RIPK1 domain containing adaptor with death domain
1721,CRAT,Carnitine O-acetyltransferase
1722,CRB1,Crumbs cell polarity complex component 1
1723,CRB2,Crumbs cell polarity complex component 2
1724,CREB1,CAMP responsive element binding protein 1
1725,CREB3L1,CAMP responsive element binding protein 3 like 1
1726,CREB3L2,CAMP responsive element binding protein 3 like 2
1727,CREB3L3,CAMP responsive element binding protein 3 like 3
1728,CREBBP,CREB binding protein
1729,CRELD1,Cysteine rich with EGF like domains 1
1730,CRIPT,CXXC repeat containing interactor of PDZ3 domain
1731,CRLF1,Cytokine receptor like factor 1
1732,CRNN,Cornulin
1733,CRPPA,CDP-L-ribitol pyrophosphorylase A
1734,CRTAP,Cartilage associated protein
1735,CRTC1,CREB regulated transcription coactivator 1
1736,CRX,Cone-rod homeobox
1737,CRY1,Cryptochrome circadian regulator 1
1738,CRYAA,Crystallin alpha A
1739,CRYAB,Crystallin alpha B
1740,CRYBA1,Crystallin beta A1
1741,CRYBA2,Crystallin beta A2
1742,CRYBA4,Crystallin beta A4
1743,CRYBB1,Crystallin beta B1
1744,CRYBB2,Crystallin beta B2
1745,CRYBB3,Crystallin beta B3
1746,CRYGB,Crystallin gamma B
1747,CRYGC,Crystallin gamma C
1748,CRYGD,Crystallin gamma D
1749,CRYGS,Crystallin gamma S
1750,CRYM,Crystallin mu
1751,CSF1,Colony stimulating factor 1
1752,CSGALNACT1,Chondroitin sulfate N-acetylgalactosaminyltransferase 1
1753,CSNK1D,Casein kinase 1 delta
1754,CSNK2A1,Casein kinase 2 alpha 1
1755,CSNK2B,Casein kinase 2 beta
1756,CSPP1,Centrosome and spindle pole associated protein 1
1757,CSRP3,Cysteine and glycine rich protein 3
1758,CST3,Cystatin C
1759,CST6,Cystatin E/M
1760,CSTA,Cystatin A
1761,CSTB,Cystatin B
1762,CTBP1,C-terminal binding protein 1
1763,CTC1,CST telomere replication complex component 1
1764,CTCF,CCCTC-binding factor
1765,CTDP1,CTD phosphatase subunit 1
1766,CTH,Cystathionine gamma-lyase
1767,CTHRC1,Collagen triple helix repeat containing 1
1768,CTNNA1,Catenin alpha 1
1769,CTNNA2,Catenin alpha 2
1770,CTNNA3,Catenin alpha 3
1771,CTNNB1,Catenin beta 1
1772,CTNNBL1,Catenin beta like 1
1773,CTNND1,Catenin delta 1
1774,CTNND2,Catenin delta 2
1775,CTNS,"Cystinosin, lysosomal cystine transporter"
1776,CTPS1,CTP synthase 1
1777,CTRC,Chymotrypsin C
1778,CTSA,Cathepsin A
1779,CTSB,Cathepsin B
1780,CTSC,Cathepsin C
1781,CTSD,Cathepsin D
1782,CTSF,Cathepsin F
1783,CTSK,Cathepsin K
